feature,base_entropy,expected_entropy,IG,cost,IG_per_cost,num_values,numeric,categories_or_bins,max_dismissal_rate,avg_dismissal_rate,best_dismissal_value
FURNITURE.MATERIAL,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['UPHOLSTERED'],0.0,0.0,UPHOLSTERED
ELEMENT.LOAD.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['TENSION'],0.0,0.0,TENSION
STRUCTURE.SUPPORT.CLADDING.MATERIAL,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['MASONRY'],0.0,0.0,MASONRY
BUILDING.ELEMENT.FACADE.FIRE_RESISTANCE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['EI60'],0.0024630541871921183,0.0024630541871921183,EI60
TEXTILE_ELEMENT.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['SUSPENDED'],0.0,0.0,SUSPENDED
LOCATION.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['OUTDOOR'],0.0,0.0,OUTDOOR
INDEPENDENCE_VESTIBULE.LOCATION,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['ACCESSIBLE.ROUTE'],0.0,0.0,ACCESSIBLE.ROUTE
EXIT.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['EMERGENCY'],0.0,0.0,EMERGENCY
STEEL.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['QUENCHED_AND_TEMPERED'],0.0,0.0,QUENCHED_AND_TEMPERED
PARKING.LOCATION,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['BELOW_OTHER_USE'],0.0,0.0,BELOW_OTHER_USE
ELEMENT.JOINT.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['MECHANICAL'],0.0,0.0,MECHANICAL
ROOM.OCCUPANCY,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['ZERO'],0.0,0.0,ZERO
SPACE.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['OCCUPIED'],0.0,0.0,OCCUPIED
FLOOR.USAGE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['PARKING'],0.0,0.0,PARKING
CORRIDOR.USERS,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['REGULAR'],0.0,0.0,REGULAR
SLAB.FUNCTION,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['FIRE.COMPARTMENTATION'],0.0,0.0,FIRE.COMPARTMENTATION
WOOD.CONNECTION.MATERIAL,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['WOOD'],0.0,0.0,WOOD
WOOD.CONNECTION.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['UNPROTECTED'],0.0,0.0,UNPROTECTED
BUILDING.PROTECTION_STATUS,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['PROTECTED'],0.0,0.0,PROTECTED
SOLUTION.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['ALTERNATIVE'],0.0,0.0,ALTERNATIVE
FRAME.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['TIMBER'],0.0,0.0,TIMBER
ZONE.USAGE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['RESIDENTIAL.HOUSING'],0.0,0.0,RESIDENTIAL.HOUSING
STRUCTURE.SUPPORT.CLADDING.PERIMETER,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['FULL'],0.0,0.0,FULL
COATING.MATERIAL,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['PLASTER.MORTAR'],0.0,0.0,PLASTER.MORTAR
SECTOR.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['MINIMUM_RISK_SECTOR'],0.0,0.0,MINIMUM_RISK_SECTOR
STAGE_BOX.OPENING.AUDIENCE_HALL.CLOSURE.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['CURTAIN'],0.0,0.0,CURTAIN
